day,entry_ts,rule_name,structure,legs,entry_spot,entry_net_credit,exit_ts,exit_spot,exit_net_credit,exit_reason,pnl_per_lot,bars_held
2026-01-28,2026-01-28 11:00:00+05:30,auto_iron_condor,iron_condor,"[{'action': 'SELL', 'strike': 25150, 'option_type': 'PE', 'premium': 13.7, 'iv': 0.13}, {'action': 'BUY', 'strike': 24950, 'option_type': 'PE', 'premium': 0.85, 'iv': 0.13}, {'action': 'SELL', 'strike': 25500, 'option_type': 'CE', 'premium': 14.17, 'iv': 0.13}, {'action': 'BUY', 'strike': 25700, 'option_type': 'CE', 'premium': 0.96, 'iv': 0.13}]",25321.1,26.06,2026-01-29 09:15:00+05:30,25280.55,2.73,target,1749.79,54
2026-02-03,2026-02-03 11:00:00+05:30,auto_iron_condor,iron_condor,"[{'action': 'SELL', 'strike': 25550, 'option_type': 'PE', 'premium': 19.63, 'iv': 0.13}, {'action': 'BUY', 'strike': 25350, 'option_type': 'PE', 'premium': 3.16, 'iv': 0.13}, {'action': 'SELL', 'strike': 26050, 'option_type': 'CE', 'premium': 21.21, 'iv': 0.13}, {'action': 'BUY', 'strike': 26250, 'option_type': 'CE', 'premium': 3.72, 'iv': 0.13}]",25794.0,33.96,2026-02-05 09:15:00+05:30,25727.35,0.75,target,2490.85,129
2026-02-10,2026-02-10 11:00:00+05:30,auto_iron_condor,iron_condor,"[{'action': 'SELL', 'strike': 25700, 'option_type': 'PE', 'premium': 17.01, 'iv': 0.13}, {'action': 'BUY', 'strike': 25500, 'option_type': 'PE', 'premium': 2.64, 'iv': 0.13}, {'action': 'SELL', 'strike': 26250, 'option_type': 'CE', 'premium': 17.27, 'iv': 0.13}, {'action': 'BUY', 'strike': 26450, 'option_type': 'CE', 'premium': 2.88, 'iv': 0.13}]",25964.6,28.76,2026-02-12 09:15:00+05:30,25855.25,1.46,target,2047.87,129
2026-02-17,2026-02-17 11:00:00+05:30,auto_iron_condor,iron_condor,"[{'action': 'SELL', 'strike': 25400, 'option_type': 'PE', 'premium': 16.14, 'iv': 0.13}, {'action': 'BUY', 'strike': 25200, 'option_type': 'PE', 'premium': 2.42, 'iv': 0.13}, {'action': 'SELL', 'strike': 25900, 'option_type': 'CE', 'premium': 24.74, 'iv': 0.13}, {'action': 'BUY', 'strike': 26100, 'option_type': 'CE', 'premium': 4.52, 'iv': 0.13}]",25666.55,33.94,2026-02-19 09:30:00+05:30,25804.3,6.33,target,2070.72,132
2026-02-24,2026-02-24 11:00:00+05:30,auto_iron_condor,iron_condor,"[{'action': 'SELL', 'strike': 25250, 'option_type': 'PE', 'premium': 20.4, 'iv': 0.13}, {'action': 'BUY', 'strike': 25050, 'option_type': 'PE', 'premium': 3.26, 'iv': 0.13}, {'action': 'SELL', 'strike': 25750, 'option_type': 'CE', 'premium': 19.04, 'iv': 0.13}, {'action': 'BUY', 'strike': 25950, 'option_type': 'CE', 'premium': 3.16, 'iv': 0.13}]",25484.65,33.02,2026-02-26 09:15:00+05:30,25535.1,0.26,target,2457.31,129
2026-03-04,2026-03-04 11:00:00+05:30,auto_iron_condor,iron_condor,"[{'action': 'SELL', 'strike': 24250, 'option_type': 'PE', 'premium': 12.36, 'iv': 0.13}, {'action': 'BUY', 'strike': 24050, 'option_type': 'PE', 'premium': 0.65, 'iv': 0.13}, {'action': 'SELL', 'strike': 24600, 'option_type': 'CE', 'premium': 12.65, 'iv': 0.13}, {'action': 'BUY', 'strike': 24800, 'option_type': 'CE', 'premium': 0.73, 'iv': 0.13}]",24420.7,23.63,2026-03-04 14:15:00+05:30,24567.85,49.92,stop,-1971.8,39
2026-03-10,2026-03-10 11:00:00+05:30,auto_iron_condor,iron_condor,"[{'action': 'SELL', 'strike': 23950, 'option_type': 'PE', 'premium': 15.05, 'iv': 0.13}, {'action': 'BUY', 'strike': 23750, 'option_type': 'PE', 'premium': 1.96, 'iv': 0.13}, {'action': 'SELL', 'strike': 24450, 'option_type': 'CE', 'premium': 18.78, 'iv': 0.13}, {'action': 'BUY', 'strike': 24650, 'option_type': 'CE', 'premium': 2.83, 'iv': 0.13}]",24202.65,29.04,2026-03-11 13:10:00+05:30,23929.65,64.24,stop,-2639.97,101
2026-03-11,2026-03-11 13:15:00+05:30,auto_iron_condor,iron_condor,"[{'action': 'SELL', 'strike': 23750, 'option_type': 'PE', 'premium': 9.3, 'iv': 0.13}, {'action': 'BUY', 'strike': 23550, 'option_type': 'PE', 'premium': 0.4, 'iv': 0.13}, {'action': 'SELL', 'strike': 24100, 'option_type': 'CE', 'premium': 14.67, 'iv': 0.13}, {'action': 'BUY', 'strike': 24300, 'option_type': 'CE', 'premium': 0.86, 'iv': 0.13}]",23938.75,22.71,2026-03-12 09:15:00+05:30,23563.15,160.08,stop,-10302.82,27
2026-03-18,2026-03-18 11:00:00+05:30,auto_iron_condor,iron_condor,"[{'action': 'SELL', 'strike': 23600, 'option_type': 'PE', 'premium': 9.61, 'iv': 0.13}, {'action': 'BUY', 'strike': 23400, 'option_type': 'PE', 'premium': 0.41, 'iv': 0.13}, {'action': 'SELL', 'strike': 23950, 'option_type': 'CE', 'premium': 13.7, 'iv': 0.13}, {'action': 'BUY', 'strike': 24150, 'option_type': 'CE', 'premium': 0.76, 'iv': 0.13}]",23784.4,22.14,2026-03-19 09:15:00+05:30,23289.5,196.68,stop,-13090.16,54
2026-03-24,2026-03-24 11:00:00+05:30,auto_iron_condor,iron_condor,"[{'action': 'SELL', 'strike': 22450, 'option_type': 'PE', 'premium': 15.17, 'iv': 0.13}, {'action': 'BUY', 'strike': 22250, 'option_type': 'PE', 'premium': 1.74, 'iv': 0.13}, {'action': 'SELL', 'strike': 22900, 'option_type': 'CE', 'premium': 19.28, 'iv': 0.13}, {'action': 'BUY', 'strike': 23100, 'option_type': 'CE', 'premium': 2.6, 'iv': 0.13}]",22678.8,30.11,2026-03-24 12:20:00+05:30,22881.5,65.74,stop,-2671.95,16
